%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1535040042226741158,0,1535040042142273458,world,hand,-0.185272857547,0.106377445161,1.16123557091,0.0984438732266,0.0516282841563,-0.969231069088,-0.219623684883
1535040042226803539,0,1535040042142311351,world,checkerboard,2.42777466774,0.800527691841,1.53561306,-0.374943196774,-0.639086604118,-0.600089251995,-0.301461368799
1535040042226811354,0,1535040042142319166,world,kinect2_mocap,0.104273714125,-1.32793414593,1.35415291786,-0.0317984893918,-0.00170911627356,0.0575181432068,-0.997836530209
1535040042229301707,0,1535040042224585279,kinect2_link,kinect2_rgb_optical_frame,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1535040042229329272,0,1535040042224585279,kinect2_rgb_optical_frame,kinect2_ir_optical_frame,-0.0519399138017,0.00333959742795,0.00875866802314,-0.00453113942441,-0.00375492295549,0.00308026364555,0.999977940409
1535040042233086315,0,1535040042150664299,world,hand,-0.185214757919,0.106280438602,1.16130542755,0.0982452630997,0.0514818541706,-0.96925508976,-0.219641178846
1535040042234791441,0,1535040042234679868,kinect2_link,kinect2_rgb_optical_frame,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1535040042234810634,0,1535040042234679868,kinect2_rgb_optical_frame,kinect2_ir_optical_frame,-0.0519399138017,0.00333959742795,0.00875866802314,-0.00453113942441,-0.00375492295549,0.00308026364555,0.999977940409
1535040042234948913,0,1535040042150678757,world,checkerboard,2.42777657509,0.800538599491,1.53563666344,-0.374975144863,-0.639102160931,-0.600044250488,-0.30147793889
1535040042234959325,0,1535040042150716349,world,kinect2_mocap,0.104276120663,-1.32793462276,1.35415220261,-0.0318187214434,-0.0017125136219,0.0575119107962,-0.997836172581
1535040042242258564,0,1535040042159970913,world,hand,-0.185209259391,0.106168054044,1.16145169735,0.0958506315947,0.0519405528903,-0.969426214695,-0.219835579395
1535040042244568721,0,1535040042159981910,world,checkerboard,2.42777872086,0.800503075123,1.53562808037,-0.374898374081,-0.639161288738,-0.60005569458,-0.30142557621
1535040042244578823,0,1535040042159986154,world,kinect2_mocap,0.104278504848,-1.3279350996,1.35415172577,-0.0318380333483,-0.00171575928107,0.0575057305396,-0.997835934162
1535040042244875775,0,1535040042244757351,kinect2_link,kinect2_rgb_optical_frame,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1535040042244884617,0,1535040042244757351,kinect2_rgb_optical_frame,kinect2_ir_optical_frame,-0.0519399138017,0.00333959742795,0.00875866802314,-0.00453113942441,-0.00375492295549,0.00308026364555,0.999977940409
1535040042252399412,0,1535040042170165061,world,hand,-0.184936717153,0.105915278196,1.16142308712,0.0977177396417,0.0514895096421,-0.969507098198,-0.218760222197
1535040042254673458,0,1535040042170174653,world,checkerboard,2.4277920723,0.800488710403,1.53560531139,-0.374950140715,-0.639204382896,-0.599954009056,-0.301471978426
1535040042254713105,0,1535040042170178913,world,kinect2_mocap,0.104278996587,-1.32793533802,1.35415220261,-0.0318365059793,-0.00171607779339,0.0575061775744,-0.997835934162
1535040042257120180,0,1535040042254839860,kinect2_link,kinect2_rgb_optical_frame,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1535040042257131929,0,1535040042254839860,kinect2_rgb_optical_frame,kinect2_ir_optical_frame,-0.0519399138017,0.00333959742795,0.00875866802314,-0.00453113942441,-0.00375492295549,0.00308026364555,0.999977940409
1535040042264347317,0,1535040042180715665,world,hand,-0.184957846999,0.105829820037,1.16145956516,0.0975826233625,0.0518771186471,-0.969241440296,-0.219903513789
1535040042265035137,0,1535040042264924347,kinect2_link,kinect2_rgb_optical_frame,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1535040042265045416,0,1535040042264924347,kinect2_rgb_optical_frame,kinect2_ir_optical_frame,-0.0519399138017,0.00333959742795,0.00875866802314,-0.00453113942441,-0.00375492295549,0.00308026364555,0.999977940409
1535040042266862471,0,1535040042180728892,world,checkerboard,2.42780590057,0.800491452217,1.53559136391,-0.374987542629,-0.63908469677,-0.600053429604,-0.301481366158
1535040042266875417,0,1535040042180734622,world,kinect2_mocap,0.104279443622,-1.32793581486,1.35415244102,-0.0318357087672,-0.00171647733077,0.0575066842139,-0.997835934162
